"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 278] best=0.8296  mean=0.6397
[Gen 279] best=0.8296  mean=0.6101
[Gen 280] best=0.8296  mean=0.5995
[Gen 281] best=0.8296  mean=0.6471
[Gen 282] best=0.8296  mean=0.6308
[Gen 283] best=0.8296  mean=0.6133
[Gen 284] best=0.8296  mean=0.6489
[Gen 285] best=0.8296  mean=0.6039
[Gen 286] best=0.8296  mean=0.6438
[Gen 287] best=0.8296  mean=0.6515
[Gen 288] best=0.8296  mean=0.6412
[Gen 289] best=0.8296  mean=0.6861
[Gen 290] best=0.8296  mean=0.6343
[Gen 291] best=0.8296  mean=0.6067
[Gen 292] best=0.8296  mean=0.6403
[Gen 293] best=0.8304  mean=0.6325
[Gen 294] best=0.8304  mean=0.6112
[Gen 295] best=0.8304  mean=0.6221
[Gen 296] best=0.8304  mean=0.6355
[Gen 297] best=0.8304  mean=0.6532
[Gen 298] best=0.8306  mean=0.6345
[Gen 299] best=0.8306  mean=0.6288
[Gen 300] best=0.8306  mean=0.6548
[Gen 301] best=0.8306  mean=0.6324
[Gen 302] best=0.8306  mean=0.6341
[Gen 303] best=0.8311  mean=0.6175
[Gen 304] best=0.8311  mean=0.5580
[Gen 305] best=0.8311  mean=0.6493
[Gen 306] best=0.8311  mean=0.6232
[Gen 307] best=0.8311  mean=0.6672
[Gen 308] best=0.8311  mean=0.6653
[Gen 309] best=0.8311  mean=0.6285
[Gen 310] best=0.8311  mean=0.6380
[Gen 311] best=0.8311  mean=0.5952
[Gen 312] best=0.8311  mean=0.6038
[Gen 313] best=0.8311  mean=0.6802
[Gen 314] best=0.8311  mean=0.5872
[Gen 315] best=0.8311  mean=0.6161
[Gen 316] best=0.8311  mean=0.6319
[Gen 317] best=0.8311  mean=0.6656
[Gen 318] best=0.8311  mean=0.6065
[Gen 319] best=0.8311  mean=0.6824
[Gen 320] best=0.8311  mean=0.6472
[Gen 321] best=0.8311  mean=0.6558
[Gen 322] best=0.8311  mean=0.6148
[Gen 323] best=0.8311  mean=0.6114
[Gen 324] best=0.8311  mean=0.6026
[Gen 325] best=0.8311  mean=0.6066
[Gen 326] best=0.8311  mean=0.6739
[Gen 327] best=0.8311  mean=0.6745
[Gen 328] best=0.8311  mean=0.5766
[Gen 329] best=0.8311  mean=0.6191
[Gen 330] best=0.8311  mean=0.6743
[Gen 331] best=0.8311  mean=0.6570
[Gen 332] best=0.8311  mean=0.6607
[Gen 333] best=0.8311  mean=0.6710
[Gen 334] best=0.8311  mean=0.6710
[Gen 335] best=0.8311  mean=0.6493
[Gen 336] best=0.8311  mean=0.6162
[Gen 337] best=0.8311  mean=0.6117
[Gen 338] best=0.8311  mean=0.6478
[Gen 339] best=0.8311  mean=0.6284
[Gen 340] best=0.8311  mean=0.6349
[Gen 341] best=0.8311  mean=0.6695
[Gen 342] best=0.8311  mean=0.6298
[Gen 343] best=0.8311  mean=0.6577
[Gen 344] best=0.8311  mean=0.6454
[Gen 345] best=0.8311  mean=0.6273
[Gen 346] best=0.8311  mean=0.6233
[Gen 347] best=0.8311  mean=0.6721
[Gen 348] best=0.8311  mean=0.6253
[Gen 349] best=0.8311  mean=0.6447
[Gen 350] best=0.8311  mean=0.6509
[Gen 351] best=0.8311  mean=0.5824
[Gen 352] best=0.8311  mean=0.6367
[Gen 353] best=0.8311  mean=0.6172
[Gen 354] best=0.8311  mean=0.6152
[Gen 355] best=0.8311  mean=0.6364
[Gen 356] best=0.8311  mean=0.6368
[Gen 357] best=0.8311  mean=0.6048
[Gen 358] best=0.8311  mean=0.5998
[Gen 359] best=0.8311  mean=0.6400
[Gen 360] best=0.8311  mean=0.6448
